,gender,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,TechSupport,StreamingMovies,Contract,PaymentMethod,MonthlyCharges,TotalCharges,ChurnYes
18,Male,71,Yes,Yes,Fiber optic,Yes,No,No,Yes,Two year,Bank transfer (automatic),0.880099502,0.849694207,0
19,Female,10,Yes,No,DSL,No,No,Yes,No,Month-to-month,Credit card (automatic),0.367661692,0.058798754,1
20,Female,21,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,0.714427861,0.212797138,0
21,Male,1,No,No phone service,DSL,No,No,No,Yes,Month-to-month,Electronic check,0.212935323,0.002405954,1
22,Male,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),0.015422886,0.021168936,0
23,Male,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,0.018905473,0.000155781,1
24,Female,58,Yes,Yes,DSL,No,Yes,Yes,No,Two year,Credit card (automatic),0.414427861,0.40229633,0
25,Male,49,Yes,No,DSL,Yes,Yes,Yes,No,Month-to-month,Credit card (automatic),0.411442786,0.340583891,0
26,Female,30,Yes,No,DSL,Yes,Yes,No,No,Month-to-month,Bank transfer (automatic),0.368656716,0.174451881,0
27,Male,47,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,0.806965174,0.545851604,1
28,Male,1,No,No phone service,DSL,No,Yes,No,No,Month-to-month,Electronic check,0.118905473,0.001315486,1
29,Male,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),0.71641791,0.732823679,0
30,Female,17,Yes,No,DSL,No,No,No,Yes,Month-to-month,Mailed check,0.462189055,0.123967228,1
31,Female,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,Credit card (automatic),0.777114428,0.778692592,0
32,Male,2,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Credit card (automatic),0.768656716,0.01879183,0
33,Female,27,Yes,No,DSL,Yes,Yes,Yes,No,One year,Mailed check,0.476616915,0.214129933,0
34,Male,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),0.019402985,0.000161551,0
35,Male,1,Yes,No,DSL,No,No,No,No,Month-to-month,Bank transfer (automatic),0.268656716,0.003052158,0
36,Female,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,Bank transfer (automatic),0.812437811,0.834629587,0
37,Male,5,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.511940299,0.0343988,1
38,Female,46,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),0.562686567,0.407281329,0
39,Male,34,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,0.876616915,0.407390953,1
40,Female,11,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Bank transfer (automatic),0.792039801,0.125386568,1
41,Male,10,Yes,No,DSL,No,Yes,No,No,One year,Mailed check,0.311442786,0.052723286,0
42,Female,70,Yes,Yes,DSL,Yes,Yes,No,No,Two year,Credit card (automatic),0.506965174,0.560068082,0
43,Female,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,0.024875622,0.04609393,0
44,Female,63,Yes,Yes,DSL,Yes,Yes,Yes,No,Two year,Credit card (automatic),0.612935323,0.558810293,0
45,Female,13,Yes,Yes,DSL,Yes,Yes,Yes,No,Month-to-month,Electronic check,0.576616915,0.111083545,0
46,Female,49,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.65920398,0.448638357,0
47,Male,2,Yes,No,DSL,No,Yes,No,No,Month-to-month,Mailed check,0.308457711,0.009023771,0
48,Female,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.620895522,0.014464574,1
49,Male,52,Yes,Yes,DSL,Yes,No,Yes,Yes,Two year,Credit card (automatic),0.611940299,0.484537272,0
50,Female,69,Yes,Yes,DSL,Yes,No,Yes,No,Two year,Credit card (automatic),0.456716418,0.488726056,0
51,Female,43,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,0.71641791,0.440797369,0
52,Female,15,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Credit card (automatic),0.804477612,0.162427879,1
53,Female,25,Yes,Yes,DSL,Yes,No,Yes,No,Month-to-month,Credit card (automatic),0.509950249,0.200075006,0
54,Female,8,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Credit card (automatic),0.620895522,0.070909301,1
55,Female,60,Yes,No,DSL,Yes,Yes,Yes,Yes,One year,Credit card (automatic),0.56318408,0.51206439,0
56,Male,18,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.768159204,0.200063466,1
57,Female,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,One year,Credit card (automatic),0.809950249,0.726102008,0
58,Male,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Electronic check,0.897512438,0.814395338,0
59,Female,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),0.066666667,0.101027002,0
60,Female,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Two year,Credit card (automatic),0.888059701,0.904096469,0
61,Female,47,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.81840796,0.540999308,0
62,Male,60,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Bank transfer (automatic),0.712935323,0.626805908,0
63,Male,72,No,No phone service,DSL,Yes,Yes,No,No,Two year,Bank transfer (automatic),0.237313433,0.339626125,0
64,Female,18,Yes,No,DSL,No,No,Yes,No,One year,Credit card (automatic),0.359701493,0.108273713,0
65,Female,9,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.757711443,0.096751673,1
66,Female,3,Yes,No,DSL,No,Yes,Yes,Yes,Month-to-month,Electronic check,0.567661692,0.025998154,0
67,Male,47,Yes,Yes,Fiber optic,No,Yes,No,No,One year,Electronic check,0.603482587,0.419057235,0
68,Female,31,Yes,No,DSL,No,Yes,Yes,Yes,Two year,Mailed check,0.606467662,0.28599123,0
69,Female,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.018905473,0.105250404,0
70,Male,10,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Mailed check,0.612935323,0.100225017,0
71,Male,1,Yes,No,DSL,No,No,Yes,No,Month-to-month,Mailed check,0.306467662,0.003490653,0
72,Female,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,0.021393035,0.123684514,0
73,Male,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,Bank transfer (automatic),0.928855721,0.817009001,0
74,Male,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.059701493,0.162220171,0
75,Female,3,Yes,No,DSL,Yes,No,Yes,Yes,Month-to-month,Bank transfer (automatic),0.460199005,0.018301408,0
76,Female,56,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,One year,Electronic check,0.917910448,0.706288945,0
77,Female,46,Yes,No,DSL,No,No,No,Yes,One year,Credit card (automatic),0.372139303,0.308106393,0
78,Female,8,Yes,No,DSL,Yes,Yes,No,No,Month-to-month,Mailed check,0.362189055,0.053479114,0
79,Male,30,Yes,No,DSL,Yes,Yes,No,Yes,Month-to-month,Electronic check,0.562189055,0.241460882,0
80,Female,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),0.076119403,0.138218324,0
81,Female,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.607960199,0.006987076,1
82,Female,11,No,No phone service,DSL,Yes,No,No,Yes,Month-to-month,Electronic check,0.321393035,0.063068313,0
83,Female,7,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),0.566169154,0.055169628,1
84,Female,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),0.851243781,0.497195938,0
85,Female,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.018905473,0.110148858,0
86,Male,9,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Credit card (automatic),0.806467662,0.103848373,0
87,Female,35,Yes,No,DSL,Yes,No,No,No,One year,Bank transfer (automatic),0.43681592,0.253479114,0
88,Female,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.023880597,0.119801523,0
89,Female,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,0.016915423,0.104811909,0
90,Male,29,No,No phone service,DSL,No,No,No,No,Month-to-month,Mailed check,0.154228856,0.114291484,0
91,Male,30,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Bank transfer (automatic),0.634825871,0.294414955,0
92,Male,1,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,0.561691542,0.006450496,0
93,Male,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Two year,Mailed check,0.654228856,0.657217863,0
94,Female,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Credit card (automatic),0.923383085,0.817932149,0
95,Male,72,Yes,Yes,Fiber optic,No,Yes,No,Yes,Two year,Bank transfer (automatic),0.82238806,0.858556427,0
96,Female,12,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Electronic check,0.6039801,0.104840757,1
97,Male,71,Yes,Yes,DSL,Yes,Yes,Yes,No,One year,Credit card (automatic),0.48358209,0.545799677,0
98,Male,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,0.027860697,0.010968151,1
99,Male,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.027363184,0.125594276,0
100,Female,25,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,0.798507463,0.287987538,1
101,Male,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,0.019402985,0.000161551,0
102,Female,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,0.011940299,7.50E-05,0
103,Male,38,Yes,Yes,Fiber optic,No,No,Yes,No,One year,Bank transfer (automatic),0.763681592,0.413893376,0
104,Female,66,No,No phone service,DSL,No,Yes,No,No,One year,Bank transfer (automatic),0.271641791,0.34715555,0
105,Male,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),0.912935323,0.876188553,1
106,Male,5,No,No phone service,DSL,No,No,No,No,Month-to-month,Mailed check,0.060199005,0.00939303,0
107,Female,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,One year,Electronic check,0.854726368,0.840555043,0
108,Female,32,No,No phone service,DSL,Yes,No,No,No,One year,Mailed check,0.11840796,0.104875375,0
109,Male,43,Yes,Yes,Fiber optic,No,No,No,Yes,One year,Mailed check,0.75721393,0.450323102,0
110,Male,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),0.011442786,0.15514078,0
111,Male,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Electronic check,0.781094527,0.602365567,1
112,Female,52,Yes,No,DSL,Yes,No,Yes,No,One year,Credit card (automatic),0.395024876,0.348886453,0
113,Female,43,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,0.730348259,0.454108008,0
114,Female,37,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.57960199,0.328796446,1
115,Female,64,No,No phone service,DSL,No,Yes,Yes,Yes,Two year,Electronic check,0.361691542,0.392880222,0
116,Male,3,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,Electronic check,0.712437811,0.026494346,0
117,Female,36,No,No phone service,DSL,Yes,No,No,No,Two year,Bank transfer (automatic),0.127363184,0.127804062,0
118,Female,10,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,Electronic check,0.815920398,0.120684283,1
119,Female,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,0.023880597,0.094201477,0
120,Male,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Credit card (automatic),0.666169154,0.246111239,0
121,Female,56,Yes,Yes,Fiber optic,No,No,No,Yes,One year,Credit card (automatic),0.811442786,0.634277637,0
122,Female,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,0.024378109,0.010841219,0
123,Male,3,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.558706468,0.024319178,1
124,Female,7,Yes,No,DSL,Yes,No,No,No,Month-to-month,Mailed check,0.322885572,0.038258712,0
125,Female,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,0.025870647,0.005088853,0
126,Male,33,Yes,No,Fiber optic,Yes,No,Yes,No,Two year,Electronic check,0.703482587,0.347201708,0
127,Female,27,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.595024876,0.244253404,1
128,Male,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.052736318,0.196763213,0
129,Male,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,0.014925373,0.000109624,0
130,Male,71,No,No phone service,DSL,Yes,Yes,No,Yes,One year,Electronic check,0.380099502,0.457714055,0
131,Female,13,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.673631841,0.138108701,0
132,Female,25,No,No phone service,DSL,Yes,Yes,No,Yes,Month-to-month,Credit card (automatic),0.401492537,0.171226633,1
133,Male,67,Yes,No,DSL,No,No,Yes,No,Two year,Bank transfer (automatic),0.321393035,0.374024925,0
134,Male,1,No,No phone service,DSL,No,No,No,Yes,Month-to-month,Electronic check,0.171144279,0.001921302,1
135,Male,2,Yes,No,DSL,No,No,No,No,Month-to-month,Electronic check,0.259701493,0.007206324,1
136,Female,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),0.074129353,0.134941149,0
137,Female,23,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Bank transfer (automatic),0.564676617,0.203057928,0
138,Female,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,0.019402985,0.145274637,0
139,Male,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,0.013432836,0.132904454,0
140,Female,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Mailed check,0.519402985,0.005960074,1
141,Female,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),0.694527363,0.739308793,0
142,Female,8,Yes,Yes,DSL,Yes,No,Yes,Yes,Month-to-month,Electronic check,0.526368159,0.062872144,1
143,Female,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,Two year,Bank transfer (automatic),0.823880597,0.68687399,0
144,Male,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,One year,Credit card (automatic),0.65721393,0.60815255,0
145,Male,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.056716418,0.200484653,0
146,Female,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,Credit card (automatic),0.8039801,0.738276021,0
147,Male,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,0.013432836,0.004909993,0
148,Male,1,Yes,No,DSL,No,No,No,No,Month-to-month,Electronic check,0.272636816,0.003098315,1
149,Male,30,Yes,No,DSL,No,Yes,No,No,One year,Credit card (automatic),0.460199005,0.220534272,0
150,Male,15,Yes,No,DSL,No,Yes,Yes,Yes,Month-to-month,Mailed check,0.509950249,0.121463189,0
151,Female,8,Yes,No,DSL,No,No,Yes,Yes,Month-to-month,Electronic check,0.500497512,0.062952919,0
152,Male,7,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Mailed check,0.763681592,0.073471036,1
153,Female,70,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,One year,Credit card (automatic),0.894527363,0.912964459,0
154,Male,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Two year,Electronic check,0.675124378,0.599636511,0
155,Female,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,0.014427861,0.010927764,0
156,Female,14,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Bank transfer (automatic),0.623383085,0.13085622,0
157,Female,22,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),0.655721393,0.208071775,0
158,Male,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,0.018905473,0.04628433,0
159,Male,16,Yes,No,DSL,Yes,No,No,No,Two year,Mailed check,0.457711443,0.115993538,0
160,Male,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.074129353,0.026863605,0
161,Female,13,Yes,No,DSL,Yes,Yes,No,No,Month-to-month,Electronic check,0.375621891,0.086054697,0
162,Female,20,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Electronic check,0.638308458,0.181577429,1
163,Female,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.511940299,0.013431802,0
164,Male,53,Yes,Yes,DSL,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),0.553731343,0.454586891,0
165,Female,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,0.023383085,0.02482114,0
166,Male,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,0.01641791,0.155163859,0
167,Female,4,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),0.523880597,0.029333026,1
168,Male,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),0.704477612,0.719553427,0
169,Male,58,No,No phone service,DSL,No,Yes,No,Yes,Month-to-month,Electronic check,0.269154229,0.303761828,1
170,Female,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,0.021393035,0.034918071,0
171,Male,43,Yes,No,Fiber optic,Yes,No,Yes,No,One year,Bank transfer (automatic),0.656716418,0.406237018,0
172,Female,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,0.85721393,0.025848142,1
173,Male,14,Yes,No,DSL,No,Yes,Yes,Yes,Two year,Mailed check,0.633830846,0.134196861,0
174,Female,53,Yes,No,Fiber optic,No,No,No,Yes,One year,Bank transfer (automatic),0.762189055,0.57482114,1
175,Female,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),0.022885572,0.073361412,0
176,Female,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,0.064179104,0.087860605,0
177,Female,15,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Mailed check,0.55920398,0.130036926,1
178,Female,7,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Bank transfer (automatic),0.579104478,0.055942765,1
179,Female,15,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Bank transfer (automatic),0.866666667,0.177757904,0
180,Male,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),0.022885572,0.142303254,0
181,Female,1,No,No phone service,DSL,No,Yes,No,No,Month-to-month,Bank transfer (automatic),0.11641791,0.001286637,1
182,Female,1,Yes,No,DSL,No,No,No,No,Month-to-month,Mailed check,0.269154229,0.003057928,0
183,Male,8,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Bank transfer (automatic),0.65920398,0.0742961,1
184,Male,33,Yes,No,DSL,Yes,No,No,Yes,One year,Credit card (automatic),0.562189055,0.280925456,0
185,Female,13,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,0.606965174,0.126107778,1
186,Female,1,No,No phone service,DSL,No,No,No,No,Month-to-month,Electronic check,0.065174129,0.000692361,1
187,Male,20,Yes,No,DSL,No,Yes,No,No,Month-to-month,Mailed check,0.333830846,0.115976229,0
188,Male,3,No,No phone service,DSL,No,No,Yes,No,Month-to-month,Electronic check,0.120895522,0.007310178,0
189,Female,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,0.013930348,0.026078929,0
190,Female,40,Yes,Yes,DSL,No,Yes,No,No,Month-to-month,Credit card (automatic),0.38159204,0.272363259,0
191,Male,43,Yes,Yes,DSL,Yes,No,Yes,Yes,One year,Credit card (automatic),0.533830846,0.36401454,0
192,Male,6,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,0.723880597,0.059104547,1
193,Female,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.014925373,0.156542811,0
194,Female,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Two year,Credit card (automatic),0.909950249,0.935898915,0
195,Male,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),0.010447761,0.13546042,0
196,Female,20,Yes,No,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Electronic check,0.779104478,0.217268636,0
197,Male,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.058208955,0.065612739,0
198,Male,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,0.926368159,0.750167321,0
199,Male,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),0.935323383,0.925784676,0
200,Male,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,0.024875622,0.000225017,0
201,Female,27,Yes,No,Fiber optic,Yes,No,Yes,Yes,One year,Credit card (automatic),0.832338308,0.307217863,0
202,Female,14,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,Credit card (automatic),0.614925373,0.126182783,0
203,Male,71,Yes,Yes,Fiber optic,Yes,No,No,Yes,Two year,Electronic check,0.868656716,0.852377106,0
204,Male,13,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),0.597512438,0.117141703,0
205,Male,44,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),0.503482587,0.339274175,0
206,Female,33,Yes,No,Fiber optic,No,Yes,Yes,No,One year,Bank transfer (automatic),0.613930348,0.307644819,0
207,Male,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),0.370149254,0.480083083,0
208,Male,1,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.613432836,0.007050542,1
209,Female,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Electronic check,0.879104478,0.221053543,1
210,Male,64,Yes,No,Fiber optic,No,Yes,Yes,Yes,One year,Credit card (automatic),0.837810945,0.765670436,0
211,Male,2,Yes,No,DSL,No,No,No,No,Month-to-month,Credit card (automatic),0.276119403,0.007581352,1
212,Female,1,No,No phone service,DSL,No,No,No,No,Month-to-month,Electronic check,0.069651741,0.000744288,0
213,Male,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,0.014925373,0.127555966,0
214,Female,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,0.017412935,0.060148858,0
215,Male,23,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.682089552,0.225830833,0
216,Female,57,No,No phone service,DSL,Yes,Yes,No,Yes,Month-to-month,Bank transfer (automatic),0.402985075,0.394489961,0
217,Male,72,No,No phone service,DSL,Yes,Yes,Yes,No,Two year,Credit card (automatic),0.268656716,0.360143088,0
218,Male,66,No,No phone service,DSL,Yes,Yes,Yes,No,Two year,Bank transfer (automatic),0.38159204,0.435079622,0
219,Male,65,Yes,Yes,DSL,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),0.656218905,0.612243249,0
220,Female,8,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),0.614427861,0.069905377,0
221,Female,4,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.51641791,0.028796446,1
222,Female,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.064676617,0.209796907,0
223,Male,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,0.019402985,0.000161551,0
224,Male,4,Yes,No,DSL,No,No,Yes,No,Month-to-month,Mailed check,0.31641791,0.018526425,1
225,Female,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),0.010945274,0.023142165,0
226,Male,24,No,No phone service,DSL,Yes,No,No,Yes,One year,Mailed check,0.321890547,0.146543965,0
227,Female,31,Yes,No,DSL,Yes,No,Yes,Yes,One year,Mailed check,0.625870647,0.291593584,0
228,Female,1,Yes,No,DSL,No,No,No,No,Month-to-month,Mailed check,0.367661692,0.004200323,1
229,Male,30,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Credit card (automatic),0.712935323,0.31206439,0
230,Female,47,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),0.667164179,0.471780522,0
231,Male,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),0.893034826,0.662572121,0
232,Male,50,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Credit card (automatic),0.748756219,0.545661205,0
233,Male,1,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Mailed check,0.660199005,0.007592892,1
