"","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn"
"24","Female",0,"Yes","No",58,"Yes","Yes","DSL","No","Yes","No","Yes","No","No","Two year","Yes","Credit card (automatic)",0.414427860696517,0.402296330486961,"No"
"25","Male",0,"Yes","Yes",49,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",0.411442786069652,0.340583891068544,"No"
"26","Female",0,"No","No",30,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",0.36865671641791,0.174451880913916,"No"
"27","Male",0,"Yes","Yes",47,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",0.806965174129353,0.545851603969536,"Yes"
"28","Male",0,"Yes","Yes",1,"No","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",0.118905472636816,0.00131548580660048,"Yes"
"29","Male",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",0.716417910447761,0.732823678744519,"No"
"30","Female",0,"No","Yes",17,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",0.462189054726368,0.123967228248327,"Yes"
"31","Female",1,"Yes","No",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",0.777114427860696,0.778692591737826,"No"
"32","Male",1,"Yes","No",2,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",0.76865671641791,0.0187918301407801,"No"
"33","Female",0,"Yes","Yes",27,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Mailed check",0.476616915422886,0.214129933071775,"No"
"34","Male",0,"No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",0.0194029850746269,0.00016155088852986,"No"
"35","Male",1,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",0.26865671641791,0.00305215785829676,"No"
"36","Female",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","No","Bank transfer (automatic)",0.812437810945274,0.834629586891299,"No"
"37","Male",0,"No","No",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",0.511940298507463,0.0343987999076852,"Yes"
"38","Female",0,"No","No",46,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",0.562686567164179,0.407281329333026,"No"
"39","Male",0,"No","No",34,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",0.876616915422885,0.407390953150242,"Yes"
"40","Female",0,"No","No",11,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",0.792039800995025,0.125386568197554,"Yes"
"41","Male",0,"Yes","Yes",10,"Yes","No","DSL","No","Yes","No","No","No","No","One year","No","Mailed check",0.311442786069652,0.0527232864066467,"No"
"42","Female",0,"Yes","Yes",70,"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Credit card (automatic)",0.506965174129353,0.560068082160166,"No"
"43","Female",0,"Yes","Yes",17,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",0.0248756218905473,0.0460939303023309,"No"
"44","Female",0,"No","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",0.612935323383084,0.558810293099469,"No"
"45","Female",0,"Yes","No",13,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",0.576616915422886,0.111083544888068,"No"
"46","Female",0,"No","No",49,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",0.659203980099502,0.448638356796677,"No"
"47","Male",0,"No","No",2,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",0.308457711442786,0.00902377105931223,"No"
"48","Female",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",0.62089552238806,0.0144645741980152,"Yes"
"49","Male",0,"No","No",52,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",0.611940298507463,0.484537272097854,"No"
"50","Female",0,"Yes","Yes",69,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",0.456716417910448,0.48872605585045,"No"
"51","Female",1,"No","No",43,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",0.716417910447761,0.440797369028387,"No"
"52","Female",0,"No","No",15,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",0.804477611940298,0.162427879067621,"Yes"
"53","Female",1,"Yes","No",25,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",0.509950248756219,0.200075005769675,"No"
"54","Female",1,"Yes","No",8,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",0.62089552238806,0.0709093007154396,"Yes"
"55","Female",1,"Yes","Yes",60,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",0.56318407960199,0.512064389568428,"No"
"56","Male",1,"No","No",18,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",0.768159203980099,0.200063466420494,"Yes"
"57","Female",0,"Yes","Yes",63,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",0.809950248756219,0.726102007846757,"No"
"58","Male",1,"Yes","Yes",66,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",0.897512437810945,0.814395338102931,"No"
"59","Female",0,"Yes","Yes",34,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",0.0666666666666667,0.101027002077083,"No"
"60","Female",0,"No","No",72,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",0.888059701492537,0.904096468959151,"No"
"61","Female",0,"Yes","No",47,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",0.818407960199005,0.540999307639049,"No"
"62","Male",0,"No","No",60,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",0.712935323383085,0.62680590814678,"No"
"63","Male",0,"Yes","No",72,"No","No","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Bank transfer (automatic)",0.237313432835821,0.339626125086545,"No"
"64","Female",0,"Yes","Yes",18,"Yes","No","DSL","No","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",0.359701492537313,0.108273713362566,"No"
"65","Female",0,"No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",0.75771144278607,0.0967516732056312,"Yes"
"66","Female",0,"No","No",3,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",0.567661691542289,0.025998153704131,"No"
"67","Male",0,"Yes","No",47,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","One year","Yes","Electronic check",0.603482587064677,0.419057235171936,"No"
"68","Female",0,"No","No",31,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",0.606467661691542,0.285991230094623,"No"
"69","Female",0,"Yes","Yes",50,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",0.018905472636816,0.105250403877221,"No"
"70","Male",0,"No","No",10,"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",0.612935323383084,0.100225017309024,"No"
"71","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",0.306467661691542,0.00349065312716362,"No"
"72","Female",0,"Yes","Yes",52,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Electronic check",0.0213930348258707,0.1236845141934,"No"
"73","Male",1,"Yes","Yes",64,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",0.928855721393035,0.817009000692361,"No"
"74","Male",0,"Yes","Yes",62,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",0.0597014925373134,0.162220170782368,"No"
"75","Female",0,"No","Yes",3,"Yes","No","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",0.460199004975124,0.0183014078006001,"No"
"76","Female",1,"No","No",56,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Electronic check",0.917910447761194,0.706288945303485,"No"
"77","Female",0,"No","No",46,"Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Credit card (automatic)",0.372139303482587,0.308106392799446,"No"
"78","Female",0,"Yes","Yes",8,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Mailed check",0.362189054726368,0.0534791137779829,"No"
"79","Male",1,"No","No",30,"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",0.562189054726368,0.241460881606277,"No"
"80","Female",0,"Yes","Yes",45,"Yes","Yes","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",0.0761194029850746,0.138218324486499,"No"
"81","Female",0,"No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",0.607960199004975,0.00698707592891758,"Yes"
"82","Female",0,"Yes","Yes",11,"No","No","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",0.321393034825871,0.0630683129471497,"No"
"83","Female",0,"Yes","No",7,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",0.566169154228856,0.0551696284329564,"Yes"
"84","Female",0,"No","No",42,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",0.851243781094527,0.497195938149088,"No"
"85","Female",0,"Yes","No",49,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",0.018905472636816,0.110148857604431,"No"
"86","Male",0,"No","No",9,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",0.806467661691542,0.103848372951766,"No"
"87","Female",0,"Yes","No",35,"Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Bank transfer (automatic)",0.43681592039801,0.253479113777983,"No"
"88","Female",0,"Yes","Yes",48,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",0.0238805970149254,0.119801523194092,"No"
"89","Female",0,"Yes","Yes",46,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",0.0169154228855722,0.104811908608354,"No"
"90","Male",0,"Yes","No",29,"No","No","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",0.154228855721393,0.114291483960305,"No"
"91","Male",0,"Yes","Yes",30,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",0.634825870646766,0.294414954996538,"No"
"92","Male",1,"No","No",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",0.561691542288557,0.00645049619201472,"No"
"93","Male",0,"Yes","Yes",66,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",0.654228855721393,0.657217862912532,"No"
"94","Female",0,"No","No",65,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",0.923383084577114,0.817932148626818,"No"
"95","Male",0,"No","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",0.822388059701493,0.858556427417494,"No"
"96","Female",0,"No","No",12,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",0.603980099502488,0.104840756981306,"Yes"
"97","Male",0,"Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",0.483582089552239,0.545799676898223,"No"
"98","Male",0,"No","No",5,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",0.027860696517413,0.0109681513962612,"Yes"
"99","Male",0,"No","No",52,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",0.027363184079602,0.125594276482806,"No"
"100","Female",1,"Yes","No",25,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",0.798507462686567,0.287987537502885,"Yes"
"101","Male",0,"No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",0.0194029850746269,0.00016155088852986,"No"
"102","Female",0,"Yes","Yes",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",0.0119402985074628,7.5005769674553e-05,"No"
"103","Male",0,"No","No",38,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",0.763681592039801,0.41389337641357,"No"
"104","Female",1,"Yes","No",66,"No","No","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",0.271641791044776,0.347155550426956,"No"
"105","Male",0,"Yes","No",68,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",0.912935323383084,0.876188552965613,"Yes"
"106","Male",0,"No","No",5,"No","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",0.0601990049751244,0.00939303023309482,"No"
"107","Female",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",0.854726368159204,0.840555042695592,"No"
"108","Female",0,"No","No",32,"No","No","DSL","Yes","No","No","No","No","No","One year","No","Mailed check",0.118407960199005,0.104875375028848,"No"
"109","Male",0,"No","No",43,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","One year","No","Mailed check",0.757213930348259,0.45032310177706,"No"
"110","Male",0,"Yes","Yes",72,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",0.0114427860696518,0.155140780060005,"No"
"111","Male",0,"Yes","No",55,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",0.781094527363184,0.602365566582045,"Yes"
"112","Female",0,"No","No",52,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Credit card (automatic)",0.395024875621891,0.348886452804062,"No"
"113","Female",0,"No","No",43,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",0.730348258706468,0.454108008308331,"No"
"114","Female",1,"Yes","No",37,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",0.579601990049751,0.328796445880452,"Yes"
"115","Female",0,"Yes","Yes",64,"No","No","DSL","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Electronic check",0.361691542288557,0.392880221555504,"No"
"116","Male",0,"Yes","Yes",3,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",0.712437810945273,0.0264943457189014,"No"
"117","Female",0,"No","No",36,"No","No","DSL","Yes","No","No","No","No","No","Two year","No","Bank transfer (automatic)",0.127363184079602,0.127804061850912,"No"
"118","Female",0,"Yes","Yes",10,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",0.81592039800995,0.120684283406416,"Yes"
"119","Female",0,"No","No",41,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",0.0238805970149254,0.0942014770366951,"No"
"120","Male",0,"Yes","Yes",27,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",0.666169154228856,0.246111239326102,"No"
"121","Female",0,"Yes","Yes",56,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",0.811442786069652,0.634277636741288,"No"
"122","Female",0,"No","No",6,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",0.0243781094527364,0.0108412185552735,"No"
"123","Male",0,"No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",0.558706467661692,0.0243191783983383,"Yes"
"124","Female",0,"Yes","Yes",7,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",0.322885572139304,0.0382587122086314,"No"
"125","Female",0,"Yes","Yes",4,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",0.0258706467661692,0.00508885298869144,"No"
"126","Male",0,"No","No",33,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","Two year","Yes","Electronic check",0.703482587064677,0.347201707823679,"No"
"127","Female",1,"No","No",27,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",0.59502487562189,0.244253404108008,"Yes"
"128","Male",0,"Yes","No",72,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",0.0527363184079602,0.196763212554812,"No"
"129","Male",0,"No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",0.0149253731343284,0.000109623817216699,"No"
"130","Male",1,"No","No",71,"No","No","DSL","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",0.380099502487562,0.457714054927302,"No"
"131","Female",0,"No","No",13,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",0.67363184079602,0.138108700669282,"No"
"132","Female",0,"Yes","Yes",25,"No","No","DSL","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",0.401492537313433,0.171226632817909,"Yes"
"133","Male",0,"No","No",67,"Yes","No","DSL","No","No","No","Yes","No","No","Two year","No","Bank transfer (automatic)",0.321393034825871,0.37402492499423,"No"
"134","Male",0,"No","No",1,"No","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",0.171144278606965,0.00192130163858754,"Yes"
"135","Male",0,"No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",0.259701492537313,0.00720632356335101,"Yes"
"136","Female",0,"No","No",43,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",0.0741293532338309,0.134941149319178,"No"
"137","Female",0,"No","No",23,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",0.564676616915423,0.203057927532887,"No"
"138","Female",0,"Yes","Yes",64,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",0.0194029850746269,0.145274636510501,"No"
"139","Male",0,"No","Yes",57,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",0.0134328358208956,0.132904454188784,"No"
"140","Female",1,"Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",0.519402985074627,0.00596007385183471,"Yes"
"141","Female",1,"Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",0.694527363184079,0.739308792984076,"No"
"142","Female",0,"No","No",8,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","No","Electronic check",0.52636815920398,0.0628721440110778,"Yes"
"143","Female",0,"Yes","No",61,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",0.823880597014925,0.686873990306947,"No"
"144","Male",0,"No","No",64,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","One year","Yes","Credit card (automatic)",0.657213930348259,0.608152550196169,"No"
"145","Male",1,"Yes","No",71,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",0.0567164179104478,0.20048465266559,"No"
"146","Female",0,"Yes","Yes",65,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","Yes","Credit card (automatic)",0.803980099502487,0.738276021232403,"No"
"147","Male",0,"No","No",3,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",0.0134328358208956,0.00490999307639047,"No"
"148","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",0.272636815920398,0.0030983152550196,"Yes"
"149","Male",0,"No","Yes",30,"Yes","No","DSL","No","Yes","Yes","No","Yes","No","One year","No","Credit card (automatic)",0.460199004975124,0.220534271867067,"No"
"150","Male",0,"Yes","Yes",15,"Yes","No","DSL","No","Yes","Yes","Yes","No","Yes","Month-to-month","Yes","Mailed check",0.509950248756219,0.121463189476114,"No"
"151","Female",0,"Yes","Yes",8,"Yes","No","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",0.500497512437811,0.0629529194553427,"No"
"152","Male",0,"No","No",7,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Mailed check",0.763681592039801,0.0734710362335564,"Yes"
"153","Female",0,"Yes","Yes",70,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",0.89452736318408,0.912964458804523,"No"
"154","Male",0,"Yes","Yes",62,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",0.675124378109453,0.599636510500808,"No"
"155","Female",0,"Yes","Yes",6,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",0.0144278606965175,0.0109277636741287,"No"
"156","Female",0,"Yes","Yes",14,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",0.623383084577114,0.130856219709208,"No"
"157","Female",0,"No","No",22,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",0.655721393034826,0.208071774751904,"No"
"158","Male",0,"Yes","Yes",22,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",0.018905472636816,0.0462843295638126,"No"
"159","Male",0,"Yes","Yes",16,"Yes","No","DSL","Yes","No","Yes","No","Yes","No","Two year","No","Mailed check",0.45771144278607,0.115993537964459,"No"
"160","Male",0,"No","No",10,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",0.0741293532338309,0.026863604892684,"No"
"161","Female",0,"No","Yes",13,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",0.375621890547264,0.0860546965151165,"No"
"162","Female",0,"Yes","No",20,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",0.638308457711443,0.181577429033003,"Yes"
"163","Female",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",0.511940298507463,0.013431802446342,"No"
"164","Male",0,"No","No",53,"Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",0.553731343283582,0.454586891299331,"No"
"165","Female",0,"Yes","Yes",11,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",0.0233830845771145,0.024821140087699,"No"
