"","SeniorCitizen","PartnerYes","DependentsYes","tenure","InternetServiceDSL","InternetServiceFiber.optic","InternetServiceNo","OnlineSecurityNo","OnlineSecurityYes","OnlineBackupYes","DeviceProtectionYes","TechSupportYes","StreamingTVYes","StreamingMoviesYes","ContractMonth.to.month","ContractOne.year","ContractTwo.year","PaperlessBillingYes","PaymentMethodBank.transfer..automatic.","PaymentMethodCredit.card..automatic.","PaymentMethodElectronic.check","PaymentMethodMailed.check","MonthlyCharges","TotalCharges","ChurnYes"
"12",0,0,0,16,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.00696517412935327,0.0355411954765751,0
"13",0,1,0,58,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0.816915422885572,0.653392568659128,0
"14",0,0,0,49,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0.850248756218905,0.578986845141934,1
"15",0,0,0,25,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0.868159203980099,0.307783291022386,0
"16",0,1,1,69,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0.945273631840796,0.908879529194553,0
"17",0,0,0,52,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0238805970149254,0.115872374798061,0
"18",0,0,1,71,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0.880099502487562,0.849694207246711,0
"19",0,1,1,10,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0.367661691542289,0.0587987537502885,1
"20",0,0,0,21,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0.714427860696517,0.212797138241403,0
"21",1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0.212935323383085,0.00240595430417724,1
"22",0,1,0,12,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0154228855721393,0.0211689360720055,0
"23",0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.018905472636816,0.000155781213939512,1
"24",0,1,0,58,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0.414427860696517,0.402296330486961,0
"25",0,1,1,49,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.411442786069652,0.340583891068544,0
"26",0,0,0,30,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0.36865671641791,0.174451880913916,0
"27",0,1,1,47,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0.806965174129353,0.545851603969536,1
"28",0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.118905472636816,0.00131548580660048,1
"29",0,1,0,72,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0.716417910447761,0.732823678744519,0
"30",0,0,1,17,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0.462189054726368,0.123967228248327,1
"31",1,1,0,71,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0.777114427860696,0.778692591737826,0
"32",1,1,0,2,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0.76865671641791,0.0187918301407801,0
"33",0,1,1,27,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0.476616915422886,0.214129933071775,0
"34",0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0194029850746269,0.00016155088852986,0
"35",1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.26865671641791,0.00305215785829676,0
"36",0,1,1,72,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0.812437810945274,0.834629586891299,0
"37",0,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.511940298507463,0.0343987999076852,1
"38",0,0,0,46,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.562686567164179,0.407281329333026,0
"39",0,0,0,34,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0.876616915422885,0.407390953150242,1
"40",0,0,0,11,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0.792039800995025,0.125386568197554,1
"41",0,1,1,10,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.311442786069652,0.0527232864066467,0
"42",0,1,1,70,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0.506965174129353,0.560068082160166,0
"43",0,1,1,17,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0248756218905473,0.0460939303023309,0
"44",0,0,0,63,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0.612935323383084,0.558810293099469,0
"45",0,1,0,13,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0.576616915422886,0.111083544888068,0
"46",0,0,0,49,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0.659203980099502,0.448638356796677,0
"47",0,0,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.308457711442786,0.00902377105931223,0
"48",0,0,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0.62089552238806,0.0144645741980152,1
"49",0,0,0,52,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0.611940298507463,0.484537272097854,0
"50",0,1,1,69,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0.456716417910448,0.48872605585045,0
"51",1,0,0,43,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0.716417910447761,0.440797369028387,0
"52",0,0,0,15,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0.804477611940298,0.162427879067621,1
"53",1,1,0,25,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0.509950248756219,0.200075005769675,0
"54",1,1,0,8,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0.62089552238806,0.0709093007154396,1
"55",1,1,1,60,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0.56318407960199,0.512064389568428,0
"56",1,0,0,18,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0.768159203980099,0.200063466420494,1
"57",0,1,1,63,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0.809950248756219,0.726102007846757,0
"58",1,1,1,66,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0.897512437810945,0.814395338102931,0
"59",0,1,1,34,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0666666666666667,0.101027002077083,0
"60",0,0,0,72,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0.888059701492537,0.904096468959151,0
"61",0,1,0,47,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0.818407960199005,0.540999307639049,0
"62",0,0,0,60,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0.712935323383085,0.62680590814678,0
"63",0,1,0,72,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0.237313432835821,0.339626125086545,0
"64",0,1,1,18,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0.359701492537313,0.108273713362566,0
"65",0,0,0,9,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.75771144278607,0.0967516732056312,1
"66",0,0,0,3,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0.567661691542289,0.025998153704131,0
"67",0,1,0,47,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0.603482587064677,0.419057235171936,0
"68",0,0,0,31,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0.606467661691542,0.285991230094623,0
"69",0,1,1,50,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.018905472636816,0.105250403877221,0
"70",0,0,0,10,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0.612935323383084,0.100225017309024,0
"71",0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.306467661691542,0.00349065312716362,0
"72",0,1,1,52,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.0213930348258707,0.1236845141934,0
"73",1,1,1,64,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0.928855721393035,0.817009000692361,0
"74",0,1,1,62,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.0597014925373134,0.162220170782368,0
"75",0,0,1,3,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0.460199004975124,0.0183014078006001,0
"76",1,0,0,56,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0.917910447761194,0.706288945303485,0
"77",0,0,0,46,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.372139303482587,0.308106392799446,0
"78",0,1,1,8,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.362189054726368,0.0534791137779829,0
"79",1,0,0,30,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0.562189054726368,0.241460881606277,0
"80",0,1,1,45,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0761194029850746,0.138218324486499,0
"81",0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0.607960199004975,0.00698707592891758,1
"82",0,1,1,11,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0.321393034825871,0.0630683129471497,0
"83",0,1,0,7,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0.566169154228856,0.0551696284329564,1
"84",0,0,0,42,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0.851243781094527,0.497195938149088,0
"85",0,1,0,49,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.018905472636816,0.110148857604431,0
"86",0,0,0,9,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0.806467661691542,0.103848372951766,0
"87",0,1,0,35,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0.43681592039801,0.253479113777983,0
"88",0,1,1,48,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0238805970149254,0.119801523194092,0
"89",0,1,1,46,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0169154228855722,0.104811908608354,0
"90",0,1,0,29,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.154228855721393,0.114291483960305,0
"91",0,1,1,30,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0.634825870646766,0.294414954996538,0
"92",1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.561691542288557,0.00645049619201472,0
"93",0,1,1,66,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0.654228855721393,0.657217862912532,0
"94",0,0,0,65,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0.923383084577114,0.817932148626818,0
"95",0,0,0,72,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0.822388059701493,0.858556427417494,0
"96",0,0,0,12,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0.603980099502488,0.104840756981306,1
"97",0,1,1,71,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.483582089552239,0.545799676898223,0
"98",0,0,0,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.027860696517413,0.0109681513962612,1
"99",0,0,0,52,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.027363184079602,0.125594276482806,0
"100",1,1,0,25,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0.798507462686567,0.287987537502885,1
"101",0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0194029850746269,0.00016155088852986,0
"102",0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0119402985074628,7.5005769674553e-05,0
"103",0,0,0,38,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0.763681592039801,0.41389337641357,0
"104",1,1,0,66,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0.271641791044776,0.347155550426956,0
"105",0,1,0,68,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0.912935323383084,0.876188552965613,1
"106",0,0,0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0601990049751244,0.00939303023309482,0
"107",0,1,1,72,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0.854726368159204,0.840555042695592,0
"108",0,0,0,32,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.118407960199005,0.104875375028848,0
"109",0,0,0,43,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0.757213930348259,0.45032310177706,0
"110",0,1,1,72,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0114427860696518,0.155140780060005,0
"111",0,1,0,55,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0.781094527363184,0.602365566582045,1
"112",0,0,0,52,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0.395024875621891,0.348886452804062,0
"113",0,0,0,43,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0.730348258706468,0.454108008308331,0
"114",1,1,0,37,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.579601990049751,0.328796445880452,1
"115",0,1,1,64,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.361691542288557,0.392880221555504,0
"116",0,1,1,3,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0.712437810945273,0.0264943457189014,0
"117",0,0,0,36,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.127363184079602,0.127804061850912,0
"118",0,1,1,10,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0.81592039800995,0.120684283406416,1
"119",0,0,0,41,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0238805970149254,0.0942014770366951,0
"120",0,1,1,27,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0.666169154228856,0.246111239326102,0
"121",0,1,1,56,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0.811442786069652,0.634277636741288,0
"122",0,0,0,6,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0243781094527364,0.0108412185552735,0
"123",0,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.558706467661692,0.0243191783983383,1
"124",0,1,1,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.322885572139304,0.0382587122086314,0
"125",0,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0258706467661692,0.00508885298869144,0
"126",0,0,0,33,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0.703482587064677,0.347201707823679,0
"127",1,0,0,27,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.59502487562189,0.244253404108008,1
"128",0,1,0,72,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.0527363184079602,0.196763212554812,0
"129",0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0149253731343284,0.000109623817216699,0
"130",1,0,0,71,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0.380099502487562,0.457714054927302,0
"131",0,0,0,13,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0.67363184079602,0.138108700669282,0
"132",0,1,1,25,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0.401492537313433,0.171226632817909,1
"133",0,0,0,67,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.321393034825871,0.37402492499423,0
"134",0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0.171144278606965,0.00192130163858754,1
"135",0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.259701492537313,0.00720632356335101,1
"136",0,0,0,43,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.0741293532338309,0.134941149319178,0
"137",0,0,0,23,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0.564676616915423,0.203057927532887,0
"138",0,1,1,64,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0194029850746269,0.145274636510501,0
"139",0,0,1,57,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0134328358208956,0.132904454188784,0
"140",1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.519402985074627,0.00596007385183471,1
"141",1,1,1,72,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0.694527363184079,0.739308792984076,0
"142",0,0,0,8,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0.52636815920398,0.0628721440110778,1
"143",0,1,0,61,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.823880597014925,0.686873990306947,0
"144",0,0,0,64,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0.657213930348259,0.608152550196169,0
"145",1,1,0,71,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0567164179104478,0.20048465266559,0
"146",0,1,1,65,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0.803980099502487,0.738276021232403,0
"147",0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0134328358208956,0.00490999307639047,0
"148",0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.272636815920398,0.0030983152550196,1
"149",0,0,1,30,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0.460199004975124,0.220534271867067,0
"150",0,1,1,15,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0.509950248756219,0.121463189476114,0
"151",0,1,1,8,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0.500497512437811,0.0629529194553427,0
"152",0,0,0,7,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0.763681592039801,0.0734710362335564,1
"153",0,1,1,70,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0.89452736318408,0.912964458804523,0
"154",0,1,1,62,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0.675124378109453,0.599636510500808,0
"155",0,1,1,6,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0144278606965175,0.0109277636741287,0
"156",0,1,1,14,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0.623383084577114,0.130856219709208,0
"157",0,0,0,22,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0.655721393034826,0.208071774751904,0
"158",0,1,1,22,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.018905472636816,0.0462843295638126,0
"159",0,1,1,16,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0.45771144278607,0.115993537964459,0
"160",0,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0741293532338309,0.026863604892684,0
"161",0,0,1,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0.375621890547264,0.0860546965151165,0
"162",0,1,0,20,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.638308457711443,0.181577429033003,1
"163",0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.511940298507463,0.013431802446342,0
"164",0,0,0,53,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0.553731343283582,0.454586891299331,0
"165",0,1,1,11,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0233830845771145,0.024821140087699,0
"166",0,1,0,69,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0164179104477612,0.155163858758366,0
"167",0,0,0,4,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.523880597014925,0.0293330256173552,1
"168",0,1,0,72,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.704477611940298,0.719553427186707,0
"169",1,1,0,58,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0.269154228855721,0.30376182783291,1
"170",0,1,1,16,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0213930348258707,0.034918070620817,0
"171",0,1,0,43,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0.656716417910448,0.406237018232172,0
"172",0,1,0,2,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0.857213930348259,0.0258481421647819,1
"173",0,1,0,14,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0.633830845771144,0.134196861297023,0
"174",0,1,0,53,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0.762189054726368,0.574821140087699,1
"175",0,0,0,32,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0228855721393035,0.0733614124163397,0
"176",0,1,0,34,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.064179104477612,0.0878606046618971,0
"177",1,0,0,15,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.559203980099502,0.130036925917378,1
"178",1,0,0,7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.57910447761194,0.0559427648280637,1
"179",0,1,1,15,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0.866666666666667,0.177757904454189,0
"180",0,1,0,61,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0228855721393035,0.142303254096469,0
"181",0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.116417910447761,0.00128663743364871,1
"182",0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.269154228855721,0.00305792753288714,0
"183",0,0,0,8,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.659203980099502,0.0742960996999769,1
"184",0,1,1,33,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0.562189054726368,0.280925455804293,0
"185",0,0,0,13,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0.606965174129353,0.126107777521348,1
"186",0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.0651741293532338,0.00069236095084237,1
"187",0,0,0,20,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0.333830845771144,0.115976228940688,0
"188",0,0,0,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.12089552238806,0.00731017770597739,0
"189",0,0,0,13,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0139303482587065,0.026078929148396,0
"190",0,1,0,40,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.381592039800995,0.272363258712209,0
"191",0,1,1,43,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0.533830845771144,0.364014539579968,0
"192",0,1,0,6,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0.723880597014925,0.0591045465035772,1
"193",0,1,1,69,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0149253731343284,0.15654281098546,0
"194",0,1,1,72,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0.909950248756219,0.935898915301177,0
"195",0,1,1,59,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0104477611940299,0.13546042003231,0
"196",0,1,0,20,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0.77910447761194,0.217268636048927,0
"197",0,1,1,24,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.0582089552238806,0.0656127394414955,0
"198",0,0,0,59,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0.92636815920398,0.75016732056312,0
"199",0,1,1,72,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0.935323383084577,0.925784675744288,0
"200",0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0248756218905473,0.000225017309023746,0
"201",0,1,0,27,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0.832338308457711,0.307217862912532,0
"202",0,0,0,14,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0.614925373134328,0.126182783291022,0
"203",0,1,1,71,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0.86865671641791,0.852377105931226,0
"204",0,0,1,13,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.597512437810945,0.117141703207939,0
"205",0,0,0,44,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.503482587064677,0.339274174936534,0
