"","genderFemale","genderMale","SeniorCitizen","PartnerNo","PartnerYes","DependentsNo","DependentsYes","tenure","PhoneServiceNo","PhoneServiceYes","MultipleLinesNo","MultipleLinesYes","InternetServiceDSL","InternetServiceFiber.optic","InternetServiceNo","OnlineSecurityNo","OnlineSecurityYes","OnlineBackupNo","OnlineBackupYes","DeviceProtectionNo","DeviceProtectionYes","TechSupportNo","TechSupportYes","StreamingTVNo","StreamingTVYes","StreamingMoviesNo","StreamingMoviesYes","ContractMonth.to.month","ContractOne.year","ContractTwo.year","PaperlessBillingNo","PaperlessBillingYes","PaymentMethodBank.transfer..automatic.","PaymentMethodCredit.card..automatic.","PaymentMethodElectronic.check","PaymentMethodMailed.check","MonthlyCharges","TotalCharges","ChurnNo","ChurnYes"
"18",0,1,0,1,0,0,1,71,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0.880099502487562,0.849694207246711,1,0
"19",1,0,0,0,1,0,1,10,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0.367661691542289,0.0587987537502885,0,1
"20",1,0,0,1,0,1,0,21,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0.714427860696517,0.212797138241403,1,0
"21",0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0.212935323383085,0.00240595430417724,0,1
"22",0,1,0,0,1,1,0,12,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0.0154228855721393,0.0211689360720055,1,0
"23",0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.018905472636816,0.000155781213939512,0,1
"24",1,0,0,0,1,1,0,58,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.414427860696517,0.402296330486961,1,0
"25",0,1,0,0,1,0,1,49,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0.411442786069652,0.340583891068544,1,0
"26",1,0,0,1,0,1,0,30,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0.36865671641791,0.174451880913916,1,0
"27",0,1,0,0,1,0,1,47,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.806965174129353,0.545851603969536,0,1
"28",0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0.118905472636816,0.00131548580660048,0,1
"29",0,1,0,0,1,1,0,72,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0.716417910447761,0.732823678744519,1,0
"30",1,0,0,1,0,0,1,17,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0.462189054726368,0.123967228248327,0,1
"31",1,0,1,0,1,1,0,71,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.777114427860696,0.778692591737826,1,0
"32",0,1,1,0,1,1,0,2,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0.76865671641791,0.0187918301407801,1,0
"33",1,0,0,0,1,0,1,27,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0.476616915422886,0.214129933071775,1,0
"34",0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0.0194029850746269,0.00016155088852986,1,0
"35",0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0.26865671641791,0.00305215785829676,1,0
"36",1,0,0,0,1,0,1,72,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0.812437810945274,0.834629586891299,1,0
"37",0,1,0,1,0,1,0,5,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.511940298507463,0.0343987999076852,0,1
"38",1,0,0,1,0,1,0,46,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0.562686567164179,0.407281329333026,1,0
"39",0,1,0,1,0,1,0,34,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.876616915422885,0.407390953150242,0,1
"40",1,0,0,1,0,1,0,11,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0.792039800995025,0.125386568197554,0,1
"41",0,1,0,0,1,0,1,10,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.311442786069652,0.0527232864066467,1,0
"42",1,0,0,0,1,0,1,70,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0.506965174129353,0.560068082160166,1,0
"43",1,0,0,0,1,0,1,17,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.0248756218905473,0.0460939303023309,1,0
"44",1,0,0,1,0,1,0,63,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0.612935323383084,0.558810293099469,1,0
"45",1,0,0,0,1,1,0,13,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0.576616915422886,0.111083544888068,1,0
"46",1,0,0,1,0,1,0,49,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0.659203980099502,0.448638356796677,1,0
"47",0,1,0,1,0,1,0,2,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.308457711442786,0.00902377105931223,1,0
"48",1,0,0,1,0,1,0,2,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0.62089552238806,0.0144645741980152,0,1
"49",0,1,0,1,0,1,0,52,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0.611940298507463,0.484537272097854,1,0
"50",1,0,0,0,1,0,1,69,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.456716417910448,0.48872605585045,1,0
"51",1,0,1,1,0,1,0,43,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0.716417910447761,0.440797369028387,1,0
"52",1,0,0,1,0,1,0,15,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0.804477611940298,0.162427879067621,0,1
"53",1,0,1,0,1,1,0,25,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0.509950248756219,0.200075005769675,1,0
"54",1,0,1,0,1,1,0,8,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0.62089552238806,0.0709093007154396,0,1
"55",1,0,1,0,1,0,1,60,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0.56318407960199,0.512064389568428,1,0
"56",0,1,1,1,0,1,0,18,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.768159203980099,0.200063466420494,0,1
"57",1,0,0,0,1,0,1,63,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0.809950248756219,0.726102007846757,1,0
"58",0,1,1,0,1,0,1,66,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0.897512437810945,0.814395338102931,1,0
"59",1,0,0,0,1,0,1,34,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0.0666666666666667,0.101027002077083,1,0
"60",1,0,0,1,0,1,0,72,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0.888059701492537,0.904096468959151,1,0
"61",1,0,0,0,1,1,0,47,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.818407960199005,0.540999307639049,1,0
"62",0,1,0,1,0,1,0,60,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0.712935323383085,0.62680590814678,1,0
"63",0,1,0,0,1,1,0,72,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0.237313432835821,0.339626125086545,1,0
"64",1,0,0,0,1,0,1,18,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.359701492537313,0.108273713362566,1,0
"65",1,0,0,1,0,1,0,9,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0.75771144278607,0.0967516732056312,0,1
"66",1,0,0,1,0,1,0,3,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0.567661691542289,0.025998153704131,1,0
"67",0,1,0,0,1,1,0,47,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0.603482587064677,0.419057235171936,1,0
"68",1,0,0,1,0,1,0,31,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0.606467661691542,0.285991230094623,1,0
"69",1,0,0,0,1,0,1,50,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0.018905472636816,0.105250403877221,1,0
"70",0,1,0,1,0,1,0,10,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0.612935323383084,0.100225017309024,1,0
"71",0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0.306467661691542,0.00349065312716362,1,0
"72",1,0,0,0,1,0,1,52,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0.0213930348258707,0.1236845141934,1,0
"73",0,1,1,0,1,0,1,64,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0.928855721393035,0.817009000692361,1,0
"74",0,1,0,0,1,0,1,62,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0.0597014925373134,0.162220170782368,1,0
"75",1,0,0,1,0,0,1,3,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0.460199004975124,0.0183014078006001,1,0
"76",1,0,1,1,0,1,0,56,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0.917910447761194,0.706288945303485,1,0
"77",1,0,0,1,0,1,0,46,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0.372139303482587,0.308106392799446,1,0
"78",1,0,0,0,1,0,1,8,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.362189054726368,0.0534791137779829,1,0
"79",0,1,1,1,0,1,0,30,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.562189054726368,0.241460881606277,1,0
"80",1,0,0,0,1,0,1,45,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0.0761194029850746,0.138218324486499,1,0
"81",1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0.607960199004975,0.00698707592891758,0,1
"82",1,0,0,0,1,0,1,11,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0.321393034825871,0.0630683129471497,1,0
"83",1,0,0,0,1,1,0,7,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0.566169154228856,0.0551696284329564,0,1
"84",1,0,0,1,0,1,0,42,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0.851243781094527,0.497195938149088,1,0
"85",1,0,0,0,1,1,0,49,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0.018905472636816,0.110148857604431,1,0
"86",0,1,0,1,0,1,0,9,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0.806467661691542,0.103848372951766,1,0
"87",1,0,0,0,1,1,0,35,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0.43681592039801,0.253479113777983,1,0
"88",1,0,0,0,1,0,1,48,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0.0238805970149254,0.119801523194092,1,0
"89",1,0,0,0,1,0,1,46,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0.0169154228855722,0.104811908608354,1,0
"90",0,1,0,0,1,1,0,29,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0.154228855721393,0.114291483960305,1,0
"91",0,1,0,0,1,0,1,30,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0.634825870646766,0.294414954996538,1,0
"92",0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0.561691542288557,0.00645049619201472,1,0
"93",0,1,0,0,1,0,1,66,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0.654228855721393,0.657217862912532,1,0
"94",1,0,0,1,0,1,0,65,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0.923383084577114,0.817932148626818,1,0
"95",0,1,0,1,0,1,0,72,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0.822388059701493,0.858556427417494,1,0
"96",1,0,0,1,0,1,0,12,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.603980099502488,0.104840756981306,0,1
"97",0,1,0,0,1,0,1,71,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.483582089552239,0.545799676898223,1,0
"98",0,1,0,1,0,1,0,5,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.027860696517413,0.0109681513962612,0,1
"99",0,1,0,1,0,1,0,52,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0.027363184079602,0.125594276482806,1,0
"100",1,0,1,0,1,1,0,25,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.798507462686567,0.287987537502885,0,1
"101",0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.0194029850746269,0.00016155088852986,1,0
"102",1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0.0119402985074628,7.5005769674553e-05,1,0
"103",0,1,0,1,0,1,0,38,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0.763681592039801,0.41389337641357,1,0
"104",1,0,1,0,1,1,0,66,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0.271641791044776,0.347155550426956,1,0
"105",0,1,0,0,1,1,0,68,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0.912935323383084,0.876188552965613,0,1
"106",0,1,0,1,0,1,0,5,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.0601990049751244,0.00939303023309482,1,0
"107",1,0,0,0,1,0,1,72,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0.854726368159204,0.840555042695592,1,0
"108",1,0,0,1,0,1,0,32,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.118407960199005,0.104875375028848,1,0
"109",0,1,0,1,0,1,0,43,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0.757213930348259,0.45032310177706,1,0
"110",0,1,0,0,1,0,1,72,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0.0114427860696518,0.155140780060005,1,0
"111",0,1,0,0,1,1,0,55,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0.781094527363184,0.602365566582045,0,1
"112",1,0,0,1,0,1,0,52,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0.395024875621891,0.348886452804062,1,0
"113",1,0,0,1,0,1,0,43,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0.730348258706468,0.454108008308331,1,0
"114",1,0,1,0,1,1,0,37,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.579601990049751,0.328796445880452,0,1
"115",1,0,0,0,1,0,1,64,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0.361691542288557,0.392880221555504,1,0
"116",0,1,0,0,1,0,1,3,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0.712437810945273,0.0264943457189014,1,0
"117",1,0,0,1,0,1,0,36,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0.127363184079602,0.127804061850912,1,0
"118",1,0,0,0,1,0,1,10,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.81592039800995,0.120684283406416,0,1
"119",1,0,0,1,0,1,0,41,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0.0238805970149254,0.0942014770366951,1,0
"120",0,1,0,0,1,0,1,27,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0.666169154228856,0.246111239326102,1,0
"121",1,0,0,0,1,0,1,56,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0.811442786069652,0.634277636741288,1,0
"122",1,0,0,1,0,1,0,6,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.0243781094527364,0.0108412185552735,1,0
"123",0,1,0,1,0,1,0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.558706467661692,0.0243191783983383,0,1
"124",1,0,0,0,1,0,1,7,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.322885572139304,0.0382587122086314,1,0
"125",1,0,0,0,1,0,1,4,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.0258706467661692,0.00508885298869144,1,0
"126",0,1,0,1,0,1,0,33,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0.703482587064677,0.347201707823679,1,0
"127",1,0,1,1,0,1,0,27,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.59502487562189,0.244253404108008,0,1
"128",0,1,0,0,1,1,0,72,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0.0527363184079602,0.196763212554812,1,0
"129",0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.0149253731343284,0.000109623817216699,1,0
"130",0,1,1,1,0,1,0,71,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0.380099502487562,0.457714054927302,1,0
"131",1,0,0,1,0,1,0,13,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0.67363184079602,0.138108700669282,1,0
"132",1,0,0,0,1,0,1,25,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0.401492537313433,0.171226632817909,0,1
"133",0,1,0,1,0,1,0,67,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0.321393034825871,0.37402492499423,1,0
"134",0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0.171144278606965,0.00192130163858754,0,1
"135",0,1,0,1,0,1,0,2,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0.259701492537313,0.00720632356335101,0,1
"136",1,0,0,1,0,1,0,43,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0.0741293532338309,0.134941149319178,1,0
"137",1,0,0,1,0,1,0,23,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0.564676616915423,0.203057927532887,1,0
"138",1,0,0,0,1,0,1,64,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0.0194029850746269,0.145274636510501,1,0
